video_id, true_label, 0=Angry, 1=Disgust, 2=Fear, 3=Happy, 4=Sad, 5=Surprise, 6=Neutral 
000359934,2,0.0,0.0,0.272727,0.181818,0.220779,0.311688,0.012987
001821420,4,0.545455,0.0,0.0,0.454545,0.0,0.0,0.0
004818054,6,0.0,0.0,0.444444,0.0,0.555556,0.0,0.0
011603980,5,0.818182,0.0,0.0,0.0,0.181818,0.0,0.0
001905680,3,0.0,0.0,0.0638298,0.914894,0.0,0.0212766,0.0
004311280,2,0.0677966,0.0,0.0677966,0.0,0.79661,0.0,0.0677966
012404000,0,0.166667,0.0,0.395833,0.0625,0.229167,0.145833,0.0
010438843,4,0.375,0.0,0.0,0.0,0.5,0.0,0.125
005637734,2,0.112903,0.0,0.467742,0.129032,0.0,0.0,0.290323
002516407,1,0.54902,0.0,0.0196078,0.0,0.392157,0.0,0.0392157
003307280,1,0.142857,0.0,0.0,0.0,0.857143,0.0,0.0
011526007,3,0.025641,0.0,0.0,0.974359,0.0,0.0,0.0
005239072,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
004742120,4,0.0,0.0,0.0168067,0.521008,0.420168,0.0,0.0420168
011340288,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
005159337,2,0.0,0.0,0.0,0.68,0.16,0.0,0.16
005332407,3,0.270833,0.0,0.0,0.729167,0.0,0.0,0.0
002241000,2,0.125,0.0,0.0,0.214286,0.196429,0.0,0.464286
004317294,0,0.625,0.0,0.0,0.333333,0.0416667,0.0,0.0
000046280,0,0.693878,0.0,0.0,0.0204082,0.285714,0.0,0.0
004552400,6,0.0,0.0,0.0,0.0,0.597015,0.0,0.402985
002021400,2,0.0,0.0,0.757576,0.0606061,0.181818,0.0,0.0
010223767,1,0.0,0.0,0.128788,0.348485,0.0,0.0,0.522727
011326080,0,0.0886076,0.0,0.0,0.0,0.911392,0.0,0.0
003934614,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
000455174,5,0.0,0.0,0.0465116,0.267442,0.674419,0.0,0.0116279
004855047,6,0.025,0.0,0.125,0.225,0.0,0.0,0.625
003316894,2,0.0,0.0,0.207547,0.339623,0.320755,0.132075,0.0
005738807,5,0.0581395,0.0,0.209302,0.232558,0.348837,0.0348837,0.116279
001549894,0,0.0,0.0,0.978261,0.0,0.0217391,0.0,0.0
010419920,0,0.809524,0.0,0.0,0.107143,0.0357143,0.0357143,0.0119048
