video_id, true_label, 0=Angry, 1=Disgust, 2=Fear, 3=Happy, 4=Sad, 5=Surprise, 6=Neutral 
000359934,2,0.0777278,0.0172947,0.262236,0.148608,0.202225,0.196582,0.0953275
001821420,4,0.408121,0.0369852,0.0393506,0.406243,0.0665099,0.00926491,0.0335256
004818054,6,0.134548,0.0560962,0.379977,0.00594135,0.3871,0.00135297,0.0349849
011603980,5,0.438671,0.0169838,0.21162,0.0329417,0.256959,0.017643,0.0251812
001905680,3,0.0584458,0.00782028,0.130697,0.635036,0.0386196,0.0845753,0.0448056
004311280,2,0.247475,0.018057,0.156708,0.011062,0.432628,0.0149889,0.119081
012404000,0,0.166675,0.0326481,0.288534,0.0780955,0.194647,0.181148,0.0582515
010438843,4,0.22124,0.00907534,0.0303917,0.0701856,0.491235,0.00519336,0.17268
005637734,2,0.170648,0.0424294,0.230919,0.139394,0.169558,0.0331888,0.213864
002516407,1,0.335358,0.0195834,0.173704,0.0135727,0.319867,0.00724606,0.130669
003307280,1,0.210795,0.028278,0.196958,0.099399,0.386162,0.00954376,0.068864
011526007,3,0.056124,0.00763572,0.0290146,0.798701,0.0641146,0.00671496,0.0376952
005239072,4,0.055962,0.00990882,0.13763,0.0767908,0.636712,0.00724918,0.0757477
004742120,4,0.0659807,0.0179659,0.162189,0.284298,0.27037,0.0237912,0.175405
011340288,3,0.000234179,0.00041417,0.000221939,0.997826,0.000292936,0.000403043,0.000607764
005159337,2,0.0660078,0.00409836,0.0894397,0.605746,0.130548,0.00863307,0.0955273
005332407,3,0.239428,0.00754355,0.0616737,0.330876,0.167436,0.0598295,0.133214
002241000,2,0.202605,0.00315683,0.0594081,0.189782,0.228985,0.0205321,0.295531
004317294,0,0.418517,0.0104516,0.08237,0.252882,0.124316,0.0159595,0.0955033
000046280,0,0.485833,0.0232482,0.0584552,0.0444812,0.314197,0.00855151,0.0652341
004552400,6,0.124998,0.00355335,0.0335616,0.0169814,0.437351,0.012802,0.370753
002021400,2,0.068755,0.0118823,0.506314,0.0745292,0.225438,0.0596281,0.0534526
010223767,1,0.0891489,0.021175,0.173225,0.248684,0.105528,0.0939198,0.268319
011326080,0,0.120598,0.0280276,0.100983,0.0565514,0.620356,0.0112811,0.0622038
003934614,6,0.0440015,0.0180111,0.217595,0.107268,0.566575,0.0142226,0.032327
000455174,5,0.0690884,0.00896666,0.138237,0.266974,0.307544,0.0289993,0.180191
004855047,6,0.146189,0.023468,0.201205,0.216952,0.0856736,0.0323468,0.294166
003316894,2,0.0650949,0.00566092,0.222234,0.291571,0.219508,0.13046,0.065471
005738807,5,0.0963842,0.0467577,0.213892,0.19691,0.223669,0.0650288,0.157358
001549894,0,0.0630505,0.0258597,0.716759,0.0237485,0.0954852,0.0352578,0.0398388
010419920,0,0.340787,0.0387995,0.151964,0.131455,0.142183,0.091111,0.103701
003403857,5,0.0815578,0.0109925,0.273703,0.268707,0.0899785,0.118042,0.157019
004353174,6,0.251857,0.0206185,0.100672,0.0833583,0.19957,0.00683717,0.337087
002723534,3,0.00877266,0.00237564,0.0218953,0.880108,0.060463,0.00565001,0.0207351
000812598,3,0.184121,0.0137752,0.135978,0.238219,0.194699,0.0499843,0.183223
011631117,5,0.0817678,0.00438544,0.17197,0.0127082,0.329583,0.0417722,0.357814
002154017,4,0.123036,0.0098708,0.257346,0.0359468,0.447548,0.020043,0.10621
002551974,5,0.0898398,0.0188086,0.29013,0.245048,0.177558,0.0753535,0.103263
002414574,2,0.0552444,0.0173634,0.0433149,0.57768,0.248927,0.00948776,0.0479829
002127847,1,0.0553596,0.0095656,0.380842,0.072684,0.0598775,0.3662,0.0554723
013847328,0,0.611581,0.0158638,0.0771567,0.0702438,0.144524,0.0219998,0.0586311
010224243,6,0.164074,0.0118319,0.0977082,0.0396938,0.426345,0.0239232,0.236424
014601640,1,0.0573963,0.00596475,0.462776,0.0667875,0.306237,0.00893101,0.0919066
002604920,3,0.100044,0.0103414,0.133095,0.195125,0.304348,0.0159519,0.241096
001759754,5,0.210436,0.0265041,0.34879,0.0373028,0.177413,0.0945328,0.105022
